@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
263.0,308.5,100
255.0,309.5,100
246.5,307.0,100
238.0,308.5,100
231.0,312.0,100
219.0,313.0,100
213.0,311.0,100
203.0,313.0,100
198.5,314.5,100
185.5,317.5,100
183.0,318.5,100
160.0,312.5,100
159.0,304.0,100
157.0,298.5,100
157.0,292.5,80
157.0,285.0,100
158.0,275.0,100
158.0,267.5,100
159.5,259.0,100
159.0,253.5,100
158.5,244.0,100
159.5,233.0,100
159.0,227.0,100
127.0,234.0,100
125.5,228.0,100
126.5,220.5,100
125.5,212.5,100
127.0,201.0,100
126.0,193.5,100
128.0,182.5,100
107.0,228.0,100
107.0,223.5,100
107.0,215.0,100
107.5,206.5,100
107.5,199.5,100
107.0,193.0,100
106.0,184.0,100
107.0,167.5,100
106.5,161.0,100
94.0,136.5,100
101.5,138.5,100
99.5,167.5,100
101.5,167.5,100
106.5,167.5,100
114.0,168.0,100
125.0,167.0,100
99.0,203.5,100
104.5,200.0,100
117.5,203.5,100
122.0,202.5,100
131.0,203.0,100
138.5,199.0,100
149.5,201.5,100
146.5,229.5,100
149.5,227.5,100
158.5,226.5,100
165.0,226.5,100
145.5,258.5,100
151.5,254.5,100
162.5,255.5,100
167.5,255.5,100
177.0,255.5,100
183.5,255.0,100
194.5,255.0,100
201.5,255.5,100
143.5,285.0,100
148.5,288.5,100
164.5,284.0,100
166.0,284.5,100
175.5,283.0,100
180.5,283.0,100
191.0,284.0,100
199.0,285.0,100
211.5,286.0,100
218.5,287.5,100
228.5,287.0,100
231.5,287.0,100
244.5,288.0,100
252.5,286.5,100
260.5,288.5,100
150.0,300.5,100
155.5,299.0,100
165.0,300.5,100
172.0,301.0,100
181.5,300.0,100
187.5,300.0,100
197.5,302.5,100
201.0,302.5,100
211.0,305.0,100
217.5,306.0,100
228.5,306.5,100
258.0,241.0,100
262.0,243.5,100
275.0,245.5,100
280.0,243.0,100
291.5,247.5,100
291.0,205.0,100
295.5,205.0,100
