@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
396.5,129.5,26
396.5,129.5,26
396.5,129.5,25
396.5,129.5,26
396.5,129.5,26
396.5,129.5,26
396.5,129.5,26
396.5,129.5,26
396.5,129.5,26
396.5,129.5,26
396.5,129.5,26
387.5,119.5,41
387.0,122.5,41
387.5,125.0,39
389.0,132.0,37
387.5,136.5,34
388.5,139.0,30
387.5,146.5,28
386.0,148.5,28
386.0,154.0,28
386.0,162.5,28
387.5,164.5,27
387.0,170.5,27
385.5,175.5,27
385.0,180.5,26
385.5,189.0,26
385.0,194.0,26
384.0,197.0,26
385.5,201.5,26
384.5,208.0,26
385.0,210.5,26
385.5,221.0,26
383.0,222.0,26
386.5,224.0,26
383.5,228.5,26
384.5,235.0,26
384.5,239.5,26
384.5,246.5,26
382.0,248.5,26
382.0,252.0,26
382.0,262.0,26
382.5,265.5,26
382.0,273.0,26
379.0,276.5,27
377.0,278.0,28
378.0,291.0,31
376.5,293.5,32
378.0,299.5,32
377.0,306.0,32
377.0,309.0,32
378.5,316.5,33
378.0,318.5,33
378.0,321.5,36
379.5,324.0,41
378.5,331.0,43
378.5,329.5,43
379.5,333.5,43
381.0,46.0,37
379.5,49.0,37
378.0,54.5,37
378.0,58.0,37
378.0,61.5,37
378.5,64.0,37
379.5,70.0,39
380.0,74.5,40
379.5,81.5,40
378.0,85.5,40
378.0,90.5,40
376.0,96.0,40
376.0,102.0,40
376.5,105.5,40
375.0,113.0,40
376.5,117.0,40
377.5,123.0,40
375.5,129.5,40
376.5,135.0,40
375.5,142.5,38
375.5,146.5,36
374.0,150.0,33
374.0,152.5,30
373.0,157.5,28
374.5,164.5,27
372.5,168.0,27
374.0,172.5,26
372.0,179.5,26
371.0,183.5,25
372.0,187.5,25
373.5,193.5,25
371.5,200.5,25
372.0,203.0,25
372.0,208.5,26
372.0,214.0,26
370.0,218.5,26
371.5,223.5,26
370.5,228.0,26
369.5,235.0,26
371.5,240.5,26
372.0,246.0,26
370.0,251.0,26
371.0,256.5,26
370.5,265.5,26
370.5,269.0,26
370.5,272.0,26
370.5,278.5,27
369.0,286.5,28
370.5,286.5,31
370.5,286.5,32
370.5,286.5,33
370.5,286.5,33
370.5,286.5,33
370.5,286.5,33
370.5,286.5,33
367.5,288.5,33
367.0,290.0,33
367.5,297.0,33
366.5,304.0,33
365.5,308.0,33
365.0,313.0,34
365.0,320.5,37
365.5,326.0,41
361.5,40.5,37
361.0,45.0,37
354.5,52.5,37
358.0,48.0,37
363.0,51.5,37
359.0,62.5,37
358.5,64.5,38
359.0,71.0,40
356.0,81.5,40
355.0,84.0,40
359.5,89.0,41
356.5,92.5,40
358.0,100.0,40
357.0,106.0,40
361.5,113.5,40
358.0,117.5,41
359.0,117.5,41
363.0,124.0,41
363.0,131.0,41
363.0,136.0,41
362.5,140.5,41
360.0,145.5,41
360.0,149.0,41
361.0,156.0,40
359.5,161.0,38
358.0,165.0,32
359.0,170.0,28
358.0,177.5,27
359.5,183.5,26
356.0,190.5,26
358.0,189.5,26
356.5,196.5,26
356.5,204.5,26
354.5,208.5,26
352.5,211.0,27
353.5,221.0,26
354.5,224.0,26
352.5,227.0,26
354.0,232.0,26
352.5,237.5,26
352.5,244.5,26
353.0,249.5,27
352.5,251.0,27
351.5,258.5,27
352.5,263.5,27
351.0,268.0,27
351.0,272.5,27
351.5,278.5,28
352.5,277.0,30
351.0,285.0,33
352.0,284.5,33
352.5,291.0,33
352.0,294.0,33
350.0,302.5,33
350.0,306.0,34
349.0,316.5,35
314.5,47.0,38
