@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
486.0,124.0,20
486.0,133.5,20
485.0,141.5,20
485.5,150.0,20
485.5,160.0,20
484.0,167.5,20
484.5,177.5,20
484.5,186.5,20
483.0,194.0,20
483.5,201.5,20
482.0,212.5,20
481.0,219.5,20
483.0,230.0,20
484.5,235.5,20
483.5,243.5,20
405.0,187.5,0
408.0,191.5,0
413.5,195.5,0
419.0,202.5,0
424.0,207.5,0
430.5,213.5,0
434.0,217.5,0
440.5,224.5,0
447.5,231.5,0
453.5,237.0,0
458.0,242.5,0
465.0,249.5,20
288.5,102.5,20
290.5,105.5,20
296.5,113.0,20
302.5,115.0,40
306.0,119.5,40
312.5,124.5,40
318.5,130.5,40
342.5,136.0,60
338.5,141.5,60
332.5,148.5,60
327.0,154.0,60
322.5,161.0,60
316.0,167.0,60
310.0,175.0,60
301.0,182.0,40
297.0,187.0,40
292.0,192.0,40
286.5,199.0,40
282.5,204.5,40
274.5,213.5,40
270.5,217.5,40
266.0,223.5,40
261.0,229.5,40
253.5,237.5,40
250.5,242.5,60
186.5,158.5,40

287.0,111.0,20
292.0,116.5,20
297.0,118.0,20
302.5,121.5,20
312.0,129.0,20
313.0,132.0,20
324.5,141.5,60
335.5,136.0,20
333.0,138.0,20
324.5,148.5,20
321.5,152.0,20
316.5,161.5,20
307.5,167.0,20
305.5,171.5,20
299.5,179.5,20
292.5,185.0,20
284.5,194.5,20
283.0,194.0,20
280.5,201.5,20
277.5,203.5,20
269.5,213.0,20
256.0,226.0,20
261.0,224.0,20
256.0,231.0,20
248.0,244.5,60
114.0,108.5,20
117.5,112.0,20
121.5,117.0,20
129.0,126.5,20
134.0,133.0,20
139.0,140.5,20
141.0,144.5,20
153.0,153.5,20
160.5,160.5,20
166.0,164.5,20
171.5,172.0,20
177.0,180.0,20
179.5,184.5,40
185.0,191.5,40
189.5,192.5,40
195.5,200.5,20
201.0,209.0,20
206.5,212.0,20
211.5,214.5,40
216.0,224.0,40
222.0,228.5,40
229.0,239.0,40
365.0,216.5,40
104.5,109.5,20
116.0,113.0,20
119.0,113.0,20
127.0,115.0,20
132.5,110.0,20
150.0,112.0,20
149.5,108.0,20
162.0,112.0,20
165.0,110.5,20
182.0,113.5,20
195.5,116.0,20
194.5,116.5,20
202.5,111.0,20
209.5,109.0,20
214.0,111.5,20
229.0,115.5,20
231.0,112.5,20
241.0,111.0,20
247.0,115.0,20
254.5,112.0,20
267.5,114.0,20
268.0,114.5,20
277.0,115.5,40
94.0,110.0,100
96.0,113.0,100
102.5,119.0,100
107.0,126.0,100
113.0,132.5,100
118.0,139.0,100
122.0,144.0,100
129.0,151.0,100
134.5,157.0,100
140.5,162.0,80
146.0,170.0,80
151.0,175.5,80
157.5,182.5,100
162.0,188.5,100
167.5,195.0,100
172.0,201.5,100
179.5,208.0,100
184.0,213.0,100
190.5,220.5,100
195.0,226.0,100
201.5,233.0,100
206.0,238.0,100
211.5,246.5,100
216.0,252.5,100
351.0,140.5,80
348.0,144.0,80
343.5,150.0,80
336.0,158.5,80
331.5,163.0,80
324.5,171.0,80
318.5,183.0,100
316.5,188.0,100
312.0,194.5,80
306.0,202.0,80
302.0,208.5,80
296.0,216.5,100
285.5,222.0,80
283.5,225.5,80
278.0,233.0,100
273.0,238.0,100
269.0,246.0,100
264.0,251.0,100
326.0,143.5,80
330.0,146.5,80
337.0,152.5,80
342.5,157.0,80
349.0,164.5,80
355.5,170.0,80
363.0,176.5,80
369.0,182.5,80
377.5,188.5,80
403.5,191.5,80
397.5,196.5,80
393.5,201.5,80
387.5,208.5,80
382.0,214.0,80
376.5,220.5,80
370.0,227.5,60
359.5,233.5,80
356.0,237.5,80
351.0,242.5,80
345.5,249.0,80
339.0,255.0,80
328.0,259.0,80
323.0,263.5,80
317.0,270.0,80
311.0,274.0,100
304.5,280.5,100
298.0,286.0,100
293.5,291.0,100
286.0,298.5,100
280.0,303.5,100
273.5,309.0,100
266.0,316.5,100
266.0,316.5,100
266.0,316.5,80
266.0,316.5,100
266.0,316.5,80
268.5,321.5,100
263.0,320.0,100
255.0,322.5,100
248.0,322.5,100
241.0,322.0,100
233.0,320.5,100
225.5,320.5,100
215.5,321.0,100
205.5,322.5,100
200.0,321.5,80
192.5,322.0,80
184.5,324.0,80
174.5,322.0,80
150.0,227.0,80
149.0,233.0,80
148.0,239.0,80
146.0,249.0,80
150.5,256.5,80
148.5,262.5,80
148.5,269.5,80
149.0,275.0,80
147.5,282.0,80
